"Table with fips codes in column A and area names in column B, column headers in rows 12 through 13.  United States in row 15, regions start in row 17, state totals start in row 24, county by state start in row 78, minor civil divisions by new england start start in row 3239, and metropolitan areas start in row 4823.",,,,,,
" Census 2000 PHC-T-22.  Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, Metropolitan Areas, and Puerto Rico: 2000 ",,,,,,
"Table 1.  Gross Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, and Metropolitan Areas:  2000",,,,,,
,,,,,,
" Source:  U. S. Census Bureau, Census 2000, special tabulation. ",,,,,,
" Internet release date:  August 6, 2003 ",,,,,,
" [Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/prod/cen2000/doc/sf3.pdf] ",,,,,,
 (X) Not applicable ,,,,,,
"1/ This category includes movers from foreign countries, as well as movers from Puerto Rico, U.S. Island Areas, and U.S. minor outlying islands.",,,,,,
"2/ Most independent cities in Virginia were combined with an adjacent or surrounding county.  Exceptions were the independent cities of Colonial Heights, Hampton, Newport News, Suffolk, and Virginia Beach.  See endnote for complete list of county/city combinations.",,,,,,
 - Represents or rounds to zero ,,,,,,
 FIPS Code	,Geographic Area of Residence in 2000, Population 5 years and over , Same residence (nonmovers) , Different residence 5 years ago ,,
 26 ,Michigan," 9,268,782 "," 5,307,228 "," 3,961,554 "," 3,334,254 "," 159,662 "
 27 ,Minnesota," 4,591,491 "," 2,617,599 "," 1,973,892 "," 1,534,137 "," 84,505 "
 28 ,Mississippi," 2,641,453 "," 1,544,846 "," 1,096,607 "," 844,550 "," 25,269 "
 29 ,Missouri," 5,226,022 "," 2,803,368 "," 2,422,654 "," 1,881,922 "," 67,363 "
 30 ,Montana," 847,362 "," 453,995 "," 393,367 "," 274,953 "," 6,884 "
 31 ,Nebraska," 1,594,700 "," 872,471 "," 722,229 "," 539,922 "," 28,282 "
 32 ,Nevada," 1,853,720 "," 692,787 "," 1,160,933 "," 619,598 "," 75,212 "
 33 ,New Hampshire," 1,160,340 "," 642,397 "," 517,943 "," 339,085 "," 16,608 "
 34 ,New Jersey," 7,856,268 "," 4,697,484 "," 3,158,784 "," 2,312,441 "," 311,765 "
 35 ,New Mexico," 1,689,911 "," 919,717 "," 770,194 "," 526,221 "," 38,706 "
 36 ,New York," 17,749,110 "," 10,961,493 "," 6,787,617 "," 5,340,392 "," 720,748 "
 37 ,North Carolina," 7,513,165 "," 3,980,197 "," 3,532,968 "," 2,417,295 "," 196,337 "
 38 ,North Dakota," 603,106 "," 342,460 "," 260,646 "," 193,178 "," 7,216 "
 39 ,Ohio," 10,599,968 "," 6,095,656 "," 4,504,312 "," 3,795,077 "," 120,585 "
 40 ,Oklahoma," 3,215,719 "," 1,650,318 "," 1,565,401 "," 1,187,740 "," 55,161 "
 41 ,Oregon," 3,199,323 "," 1,496,938 "," 1,702,385 "," 1,219,696 "," 83,361 "
 42 ,Pennsylvania," 11,555,538 "," 7,333,591 "," 4,221,947 "," 3,387,963 "," 165,231 "
 44 ,Rhode Island," 985,184 "," 572,209 "," 412,975 "," 290,449 "," 25,546 "
 45 ,South Carolina," 3,748,669 "," 2,097,193 "," 1,651,476 "," 1,149,649 "," 59,378 "
 46 ,South Dakota," 703,820 "," 391,777 "," 312,043 "," 232,370 "," 7,125 "
 47 ,Tennessee," 5,315,920 "," 2,865,547 "," 2,450,373 "," 1,804,435 "," 77,972 "
 48 ,Texas," 19,241,518 "," 9,545,367 "," 9,696,151 "," 7,607,342 "," 725,960 "
 49 ,Utah," 2,023,875 "," 998,458 "," 1,025,417 "," 718,565 "," 64,663 "
 50 ,Vermont," 574,842 "," 339,599 "," 235,243 "," 158,102 "," 7,393 "
 51 ,Virginia," 6,619,266 "," 3,453,486 "," 3,165,780 "," 2,138,591 "," 205,451 "
 53 ,Washington," 5,501,398 "," 2,675,514 "," 2,825,884 "," 2,031,822 "," 175,667 "
 54 ,West Virginia," 1,706,931 "," 1,081,045 "," 625,886 "," 479,065 "," 8,334 "
 55 ,Wisconsin," 5,022,073 "," 2,836,232 "," 2,185,841 "," 1,783,204 "," 64,529 "
 56 ,Wyoming," 462,809 "," 237,506 "," 225,303 "," 147,232 "," 5,237 "
,,,,,,
County by State	 ,,,,,,
,,,,,,
Alabama,,,,,,
 01001 ,  Autauga County," 40,526 "," 22,342 "," 18,184 "," 7,927 ", 346
 01003 ,  Baldwin County," 131,862 "," 70,099 "," 61,763 "," 28,868 "," 1,654 "
 01005 ,  Barbour County," 27,238 "," 16,485 "," 10,753 "," 5,724 ", 427
 01007 ,  Bibb County," 19,429 "," 12,492 "," 6,937 "," 2,928 ", 243
 01009 ,  Blount County," 47,360 "," 28,122 "," 19,238 "," 9,257 ", 507
 01011 ,  Bullock County," 11,003 "," 6,533 "," 4,470 "," 1,911 ", 281
 01013 ,  Butler County," 20,009 "," 12,441 "," 7,568 "," 5,458 ", 35
 01015 ,  Calhoun County," 105,320 "," 60,138 "," 45,182 "," 28,643 "," 1,101 "
 01017 ,  Chambers County," 34,148 "," 21,717 "," 12,431 "," 8,281 ", 151
 01019 ,  Cherokee County," 22,558 "," 14,299 "," 8,259 "," 3,817 ", 174
 01021 ,  Chilton County," 36,939 "," 22,834 "," 14,105 "," 7,631 ", 279
 01023 ,  Choctaw County," 14,849 "," 10,344 "," 4,505 "," 3,047 ", 85
 01025 ,  Clarke County," 25,791 "," 18,010 "," 7,781 "," 5,191 ", 96
 01027 ,  Clay County," 13,393 "," 9,120 "," 4,273 "," 2,370 ", 71
 01029 ,  Cleburne County," 13,280 "," 8,880 "," 4,400 "," 2,344 ", 89
 01031 ,  Coffee County," 40,914 "," 22,635 "," 18,279 "," 8,150 "," 1,069 "
 01033 ,  Colbert County," 51,637 "," 32,126 "," 19,511 "," 12,062 ", 314
 01035 ,  Conecuh County," 13,256 "," 9,430 "," 3,826 "," 2,292 ", 51
 01037 ,  Coosa County," 11,467 "," 7,591 "," 3,876 "," 1,476 ", 43
 01039 ,  Covington County," 35,423 "," 22,367 "," 13,056 "," 8,192 ", 149
 01041 ,  Crenshaw County," 12,859 "," 8,407 "," 4,452 "," 2,486 ", 41
 01043 ,  Cullman County," 72,614 "," 42,956 "," 29,658 "," 17,965 ", 755
 01045 ,  Dale County," 45,333 "," 23,464 "," 21,869 "," 8,392 "," 1,637 "
 01047 ,  Dallas County," 42,959 "," 27,915 "," 15,044 "," 11,080 ", 407
 01049 ,  DeKalb County," 60,078 "," 36,194 "," 23,884 "," 13,844 ", 857
 01051 ,  Elmore County," 61,694 "," 32,868 "," 28,826 "," 10,573 ", 519
 01053 ,  Escambia County," 36,076 "," 22,131 "," 13,945 "," 8,041 ", 188
 01055 ,  Etowah County," 96,773 "," 59,632 "," 37,141 "," 24,119 ", 773
 01057 ,  Fayette County," 17,424 "," 11,605 "," 5,819 "," 3,476 ", 48
 01059 ,  Franklin County," 29,285 "," 18,109 "," 11,176 "," 6,529 ", 521
 01061 ,  Geneva County," 24,316 "," 15,609 "," 8,707 "," 4,861 ", 135
 01063 ,  Greene County," 9,226 "," 6,561 "," 2,665 "," 1,614 ", 35
 01065 ,  Hale County," 15,785 "," 10,754 "," 5,031 "," 2,717 ", 101
 01067 ,  Henry County," 15,238 "," 10,064 "," 5,174 "," 2,370 ", 126
 01069 ,  Houston County," 82,828 "," 44,749 "," 38,079 "," 23,122 ", 732
 01071 ,  Jackson County," 50,517 "," 31,121 "," 19,396 "," 11,904 ", 202
 01073 ,  Jefferson County," 618,995 "," 351,182 "," 267,813 "," 181,731 "," 8,408 "
 01075 ,  Lamar County," 15,001 "," 9,798 "," 5,203 "," 3,435 ", 95
 01077 ,  Lauderdale County," 82,805 "," 49,653 "," 33,152 "," 20,586 ", 544
 01079 ,  Lawrence County," 32,625 "," 21,323 "," 11,302 "," 6,835 ", 95
 01081 ,  Lee County," 107,968 "," 47,629 "," 60,339 "," 22,429 "," 1,530 "
 01083 ,  Limestone County," 61,239 "," 36,345 "," 24,894 "," 13,566 ", 394
 01085 ,  Lowndes County," 12,465 "," 9,441 "," 3,024 "," 1,466 ", 38
 01087 ,  Macon County," 22,558 "," 13,345 "," 9,213 "," 4,662 ", 398
 01089 ,  Madison County," 257,992 "," 129,993 "," 127,999 "," 73,036 "," 5,223 "
 01091 ,  Marengo County," 20,967 "," 14,343 "," 6,624 "," 4,013 ", 190
 01093 ,  Marion County," 29,360 "," 18,170 "," 11,190 "," 6,649 ", 193
 01095 ,  Marshall County," 76,750 "," 43,130 "," 33,620 "," 19,675 "," 1,490 "
 01097 ,  Mobile County," 370,583 "," 215,150 "," 155,433 "," 110,903 "," 4,833 "
 01099 ,  Monroe County," 22,519 "," 15,548 "," 6,971 "," 4,640 ", 48
 01101 ,  Montgomery County," 208,155 "," 107,993 "," 100,162 "," 58,522 "," 3,006 "
 01103 ,  Morgan County," 103,716 "," 58,935 "," 44,781 "," 27,508 "," 1,170 "
 01105 ,  Perry County," 10,983 "," 7,139 "," 3,844 "," 2,270 ", 42
 01107 ,  Pickens County," 19,521 "," 13,145 "," 6,376 "," 4,146 ", 83
 01109 ,  Pike County," 27,629 "," 15,739 "," 11,890 "," 6,654 ", 438
 01111 ,  Randolph County," 20,929 "," 13,876 "," 7,053 "," 4,225 ", 72
 01113 ,  Russell County," 46,183 "," 26,283 "," 19,900 "," 9,717 ", 777
 01115 ,  St. Clair County," 60,566 "," 35,881 "," 24,685 "," 10,970 ", 231
 01117 ,  Shelby County," 132,542 "," 64,764 "," 67,778 "," 23,492 "," 1,525 "
 01119 ,  Sumter County," 13,744 "," 9,222 "," 4,522 "," 2,575 ", 74
 01121 ,  Talladega County," 75,278 "," 45,441 "," 29,837 "," 16,473 ", 447
 01123 ,  Tallapoosa County," 38,899 "," 24,540 "," 14,359 "," 9,033 ", 157
 01125 ,  Tuscaloosa County," 154,505 "," 78,867 "," 75,638 "," 42,971 "," 2,405 "
 01127 ,  Walker County," 66,242 "," 42,321 "," 23,921 "," 16,097 ", 312
 01129 ,  Washington County," 16,759 "," 12,482 "," 4,277 "," 2,427 ", 46
 01131 ,  Wilcox County," 12,100 "," 8,364 "," 3,736 "," 2,475 ", 62
 01133 ,  Winston County," 23,293 "," 14,661 "," 8,632 "," 4,825 ", 144
Alaska,,,,,,
 02013 ,  Aleutians East Borough," 2,586 "," 1,461 "," 1,125 ", 187 , 108
 02016 ,  Aleutians West Census Area," 5,220 "," 1,999 "," 3,221 ", 882 , 357
 02020 ,  Anchorage Municipality," 240,627 "," 100,167 "," 140,460 "," 77,553 "," 6,717 "
 02050 ,  Bethel Census Area," 14,405 "," 9,118 "," 5,287 "," 3,515 ", 83
 02060 ,  Bristol Bay Borough," 1,169 ", 656 , 513 , 198 , 4
 02068 ,  Denali Borough," 1,795 ", 979 , 816 , 214 , 27
 02070 ,  Dillingham Census Area," 4,435 "," 2,895 "," 1,540 ", 770 , 37
 02090 ,  Fairbanks North Star Borough," 76,200 "," 30,036 "," 46,164 "," 19,871 "," 2,298 "
 02100 ,  Haines Borough," 2,266 "," 1,182 "," 1,084 ", 453 , 39
 02110 ,  Juneau City and Borough," 28,711 "," 12,954 "," 15,757 "," 8,968 ", 416
 02122 ,  Kenai Peninsula Borough," 46,359 "," 24,957 "," 21,402 "," 11,400 ", 314
 02130 ,  Ketchikan Gateway Borough," 13,135 "," 6,393 "," 6,742 "," 3,763 ", 141
 02150 ,  Kodiak Island Borough," 12,567 "," 4,911 "," 7,656 "," 3,483 ", 568
 02164 ,  Lake and Peninsula Borough," 1,675 "," 1,229 ", 446 , 181 , 12
 02170 ,  Matanuska-Susitna Borough," 55,170 "," 27,247 "," 27,923 "," 12,012 ", 647
 02180 ,  Nome Census Area," 8,395 "," 5,230 "," 3,165 "," 2,040 ", 52
 02185 ,  North Slope Borough," 6,679 "," 3,444 "," 3,235 "," 1,956 ", 123
 02188 ,  Northwest Arctic Borough," 6,444 "," 3,879 "," 2,565 "," 1,663 ", 25
 02201 ,  Prince of Wales-Outer Ketchikan Census Area," 5,706 "," 3,134 "," 2,572 "," 1,520 ", 30
 02220 ,  Sitka City and Borough," 8,317 "," 3,580 "," 4,737 "," 2,162 ", 105
 02232 ,  Skagway-Hoonah-Angoon Census Area," 3,251 "," 1,940 "," 1,311 ", 554 , 15
 02240 ,  Southeast Fairbanks Census Area," 5,739 "," 3,206 "," 2,533 ", 875 , 185
 02261 ,  Valdez-Cordova Census Area," 9,533 "," 4,966 "," 4,567 "," 1,998 ", 174
 02270 ,  Wade Hampton Census Area," 6,288 "," 4,713 "," 1,575 "," 1,108 ", 13
 02280 ,  Wrangell-Petersburg Census Area," 6,234 "," 3,487 "," 2,747 "," 1,685 ", 45
 02282 ,  Yakutat City and Borough, 760 , 412 , 348 , 146 , 2
 02290 ,  Yukon-Koyukuk Census Area," 6,074 "," 3,783 "," 2,291 "," 1,178 ", 27
Arizona,,,,,,
 04001 ,  Apache County," 63,202 "," 44,593 "," 18,609 "," 9,074 ", 469
 04003 ,  Cochise County," 110,047 "," 51,018 "," 59,029 "," 25,237 "," 4,689 "
 04005 ,  Coconino County," 107,775 "," 49,841 "," 57,934 "," 24,801 "," 1,687 "
 04007 ,  Gila County," 48,370 "," 26,365 "," 22,005 "," 9,089 ", 335
 04009 ,  Graham County," 30,909 "," 17,785 "," 13,124 "," 5,824 ", 749
 04011 ,  Greenlee County," 7,855 "," 4,487 "," 3,368 "," 1,643 ", 67
 04012 ,  La Paz County," 18,774 "," 10,175 "," 8,599 "," 3,244 ", 327
 04013 ,  Maricopa County," 2,832,694 "," 1,177,221 "," 1,655,473 "," 965,603 "," 131,091 "
 04015 ,  Mohave County," 145,803 "," 67,332 "," 78,471 "," 31,065 "," 2,032 "
 04017 ,  Navajo County," 89,175 "," 54,025 "," 35,150 "," 17,860 "," 1,035 "
 04019 ,  Pima County," 788,868 "," 364,326 "," 424,542 "," 245,742 "," 24,626 "
 04021 ,  Pinal County," 167,639 "," 79,159 "," 88,480 "," 32,275 "," 3,926 "
 04023 ,  Santa Cruz County," 35,184 "," 19,430 "," 15,754 "," 10,055 "," 1,611 "
 04025 ,  Yavapai County," 158,931 "," 70,108 "," 88,823 "," 34,448 "," 2,744 "
 04027 ,  Yuma County," 147,498 "," 68,042 "," 79,456 "," 40,385 "," 7,594 "
Arkansas,,,,,,
 05001 ,  Arkansas County," 19,372 "," 11,784 "," 7,588 "," 4,971 ", 84
 05003 ,  Ashley County," 22,588 "," 13,914 "," 8,674 "," 5,956 ", 136
 05005 ,  Baxter County," 36,699 "," 20,199 "," 16,500 "," 7,142 ", 61
 05007 ,  Benton County," 141,889 "," 64,093 "," 77,796 "," 34,100 "," 3,228 "
 05009 ,  Boone County," 31,824 "," 17,034 "," 14,790 "," 7,251 ", 207
 05011 ,  Bradley County," 11,855 "," 7,441 "," 4,414 "," 2,270 ", 138
 05013 ,  Calhoun County," 5,431 "," 3,530 "," 1,901 ", 887 , 61
 05015 ,  Carroll County," 23,779 "," 12,731 "," 11,048 "," 4,855 ", 739
 05017 ,  Chicot County," 13,145 "," 8,124 "," 5,021 "," 2,930 ", 148
 05019 ,  Clark County," 22,142 "," 11,171 "," 10,971 "," 4,972 ", 526
 05021 ,  Clay County," 16,553 "," 9,862 "," 6,691 "," 4,350 ", 57
 05023 ,  Cleburne County," 22,822 "," 12,947 "," 9,875 "," 3,849 ", 132
 05025 ,  Cleveland County," 8,001 "," 5,156 "," 2,845 "," 1,387 ", 80
 05027 ,  Columbia County," 24,019 "," 14,044 "," 9,975 "," 6,171 ", 238
 05029 ,  Conway County," 19,055 "," 11,761 "," 7,294 "," 3,611 ", 145
 05031 ,  Craighead County," 76,589 "," 36,146 "," 40,443 "," 22,691 ", 758
 05033 ,  Crawford County," 49,255 "," 25,907 "," 23,348 "," 12,142 ", 181
 05035 ,  Crittenden County," 46,571 "," 24,770 "," 21,801 "," 12,999 ", 532
 05037 ,  Cross County," 18,189 "," 10,713 "," 7,476 "," 4,528 ", 60
 05039 ,  Dallas County," 8,746 "," 5,348 "," 3,398 "," 1,806 ", 23
 05041 ,  Desha County," 14,202 "," 8,699 "," 5,503 "," 3,767 ", 100
 05043 ,  Drew County," 17,467 "," 9,752 "," 7,715 "," 3,922 ", 85
 05045 ,  Faulkner County," 80,153 "," 36,550 "," 43,603 "," 19,186 ", 774
 05047 ,  Franklin County," 16,623 "," 10,036 "," 6,587 "," 3,388 ", 33
 05049 ,  Fulton County," 10,990 "," 6,570 "," 4,420 "," 1,696 ", 14
 05051 ,  Garland County," 83,249 "," 43,785 "," 39,464 "," 19,774 ", 795
 05053 ,  Grant County," 15,390 "," 9,271 "," 6,119 "," 2,549 ", 77
 05055 ,  Greene County," 34,826 "," 18,377 "," 16,449 "," 9,899 ", 149
 05057 ,  Hempstead County," 21,801 "," 12,515 "," 9,286 "," 4,957 ", 644
 05059 ,  Hot Spring County," 28,372 "," 16,265 "," 12,107 "," 6,111 ", 160
 05061 ,  Howard County," 13,319 "," 7,707 "," 5,612 "," 3,104 ", 271
 05063 ,  Independence County," 32,016 "," 18,417 "," 13,599 "," 7,818 ", 413
 05065 ,  Izard County," 12,572 "," 6,950 "," 5,622 "," 2,370 ", 176
 05067 ,  Jackson County," 17,369 "," 11,395 "," 5,974 "," 3,845 ", 47
 05069 ,  Jefferson County," 78,470 "," 44,314 "," 34,156 "," 22,789 "," 1,084 "
 05071 ,  Johnson County," 21,291 "," 11,389 "," 9,902 "," 4,669 ", 576
 05073 ,  Lafayette County," 8,047 "," 5,518 "," 2,529 "," 1,458 ", 37
 05075 ,  Lawrence County," 16,657 "," 9,359 "," 7,298 "," 4,264 ", 101
 05077 ,  Lee County," 11,749 "," 6,503 "," 5,246 "," 2,494 ", 65
 05079 ,  Lincoln County," 13,684 "," 7,441 "," 6,243 "," 1,958 ", 15
 05081 ,  Little River County," 12,668 "," 7,528 "," 5,140 "," 2,863 ", 38
 05083 ,  Logan County," 21,021 "," 11,900 "," 9,121 "," 5,171 ", 111
 05085 ,  Lonoke County," 49,131 "," 25,189 "," 23,942 "," 9,579 ", 430
 05087 ,  Madison County," 13,323 "," 8,490 "," 4,833 "," 1,755 ", 108
 05089 ,  Marion County," 15,324 "," 8,526 "," 6,798 "," 2,439 ", 76
 05091 ,  Miller County," 37,423 "," 20,531 "," 16,892 "," 8,807 ", 302
 05093 ,  Mississippi County," 47,798 "," 25,846 "," 21,952 "," 15,934 ", 216
 05095 ,  Monroe County," 9,541 "," 5,837 "," 3,704 "," 2,275 ", 45
 05097 ,  Montgomery County," 8,690 "," 5,550 "," 3,140 "," 1,307 ", 58
 05099 ,  Nevada County," 9,311 "," 5,863 "," 3,448 "," 1,743 ", 77
 05101 ,  Newton County," 8,108 "," 5,043 "," 3,065 "," 1,085 ", 47
 05103 ,  Ouachita County," 27,026 "," 16,832 "," 10,194 "," 6,790 ", 163
 05105 ,  Perry County," 9,573 "," 5,785 "," 3,788 "," 1,523 ", 55
 05107 ,  Phillips County," 24,190 "," 14,638 "," 9,552 "," 6,812 ", 91
 05109 ,  Pike County," 10,595 "," 6,821 "," 3,774 "," 1,611 ", 78
 05111 ,  Poinsett County," 23,862 "," 14,094 "," 9,768 "," 6,296 ", 96
 05113 ,  Polk County," 18,902 "," 10,654 "," 8,248 "," 4,799 ", 175
 05115 ,  Pope County," 51,044 "," 25,908 "," 25,136 "," 13,811 ", 323
 05117 ,  Prairie County," 8,974 "," 5,767 "," 3,207 "," 1,690 ", 24
 05119 ,  Pulaski County," 335,566 "," 169,237 "," 166,329 "," 100,247 "," 6,537 "
 05121 ,  Randolph County," 17,105 "," 9,733 "," 7,372 "," 4,423 ", 187
 05123 ,  St. Francis County," 27,089 "," 14,651 "," 12,438 "," 7,040 ", 795
 05125 ,  Saline County," 78,144 "," 42,747 "," 35,397 "," 15,085 ", 482
 05127 ,  Scott County," 10,183 "," 5,923 "," 4,260 "," 2,219 ", 157
 05129 ,  Searcy County," 7,814 "," 4,997 "," 2,817 "," 1,387 ", 19
 05131 ,  Sebastian County," 106,590 "," 53,141 "," 53,449 "," 29,065 "," 2,181 "
 05133 ,  Sevier County," 14,504 "," 8,024 "," 6,480 "," 3,682 ", 470
 05135 ,  Sharp County," 16,147 "," 9,143 "," 7,004 "," 2,449 ", 23
 05137 ,  Stone County," 10,857 "," 6,785 "," 4,072 "," 2,067 ", 21
 05139 ,  Union County," 42,828 "," 25,940 "," 16,888 "," 11,258 ", 490
 05141 ,  Van Buren County," 15,338 "," 9,158 "," 6,180 "," 2,471 ", 92
 05143 ,  Washington County," 145,934 "," 62,670 "," 83,264 "," 40,170 "," 5,058 "
 05145 ,  White County," 62,937 "," 31,609 "," 31,328 "," 15,149 ", 776
 05147 ,  Woodruff County," 8,125 "," 5,120 "," 3,005 "," 1,835 ", 32
 05149 ,  Yell County," 19,769 "," 10,206 "," 9,563 "," 4,516 ", 674
California,,,,,,
 06001 ,  Alameda County," 1,346,666 "," 683,794 "," 662,872 "," 338,788 "," 79,757 "
 06003 ,  Alpine County," 1,147 ", 664 , 483 , 120 , 13
 06005 ,  Amador County," 33,690 "," 18,004 "," 15,686 "," 5,726 ", 207
 06007 ,  Butte County," 191,504 "," 91,819 "," 99,685 "," 53,508 "," 3,723 "
 06009 ,  Calaveras County," 38,831 "," 21,350 "," 17,481 "," 6,125 ", 215
 06011 ,  Colusa County," 17,275 "," 9,959 "," 7,316 "," 3,893 ", 898
 06013 ,  Contra Costa County," 883,762 "," 469,796 "," 413,966 "," 212,583 "," 32,302 "
 06015 ,  Del Norte County," 26,026 "," 11,830 "," 14,196 "," 5,531 ", 406
 06017 ,  El Dorado County," 147,368 "," 77,608 "," 69,760 "," 30,981 "," 1,954 "
 06019 ,  Fresno County," 732,422 "," 373,870 "," 358,552 "," 261,551 "," 22,488 "
 06021 ,  Glenn County," 24,459 "," 14,017 "," 10,442 "," 6,287 ", 549
 06023 ,  Humboldt County," 119,423 "," 61,219 "," 58,204 "," 34,462 "," 1,387 "
 06025 ,  Imperial County," 131,530 "," 68,554 "," 62,976 "," 35,899 "," 6,675 "
 06027 ,  Inyo County," 16,962 "," 9,213 "," 7,749 "," 4,080 ", 215
 06029 ,  Kern County," 606,633 "," 286,630 "," 320,003 "," 211,684 "," 21,867 "
 06031 ,  Kings County," 119,256 "," 50,464 "," 68,792 "," 28,883 "," 7,291 "
 06033 ,  Lake County," 55,255 "," 28,677 "," 26,578 "," 12,393 ", 741
 06035 ,  Lassen County," 32,185 "," 14,636 "," 17,549 "," 4,875 "," 1,052 "
 06037 ,  Los Angeles County," 8,791,096 "," 4,571,423 "," 4,219,673 "," 3,136,120 "," 466,605 "
 06039 ,  Madera County," 113,722 "," 60,028 "," 53,694 "," 28,232 "," 4,102 "
 06041 ,  Marin County," 234,008 "," 128,347 "," 105,661 "," 51,146 "," 9,572 "
 06043 ,  Mariposa County," 16,311 "," 8,638 "," 7,673 "," 3,065 ", 65
 06045 ,  Mendocino County," 81,075 "," 45,445 "," 35,630 "," 21,175 "," 1,727 "
 06047 ,  Merced County," 192,259 "," 97,142 "," 95,117 "," 57,223 "," 6,335 "
 06049 ,  Modoc County," 8,940 "," 5,350 "," 3,590 "," 1,610 ", 176
 06051 ,  Mono County," 12,097 "," 4,599 "," 7,498 "," 3,371 ", 335
 06053 ,  Monterey County," 370,950 "," 181,088 "," 189,862 "," 105,566 "," 22,833 "
 06055 ,  Napa County," 116,795 "," 61,901 "," 54,894 "," 29,152 "," 4,672 "
